platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors
GitLab,sar-eye,HorizonScanner,17926570,2020-04-04T15:14:59.267Z,2025-05-08T09:59:24.434Z,master,0,3.0,1217664.0,GPL-2.0,Python,"{""Dockerfile"": {""size"": 5373, ""percentage"": ""1.40""}, ""Shell"": {""size"": 4755, ""percentage"": ""1.24""}, ""Python"": {""size"": 362447, ""percentage"": ""94.72""}, ""CMake"": {""size"": 4278, ""percentage"": ""1.12""}, ""HTML"": {""size"": 5780, ""percentage"": ""1.51""}}",654.0,33.0,7.0
GitLab,cznic,libexpat,50990628,2023-10-05T15:38:49.532Z,2025-05-08T12:30:52.330Z,master,0,2.0,42574761.0,NOASSERTION,C++,"{""Makefile"": {""size"": 1454, ""percentage"": ""0.26""}, ""Go"": {""size"": 14542, ""percentage"": ""2.57""}, ""Shell"": {""size"": 3747, ""percentage"": ""0.66""}, ""C++"": {""size"": 540078, ""percentage"": ""95.44""}, ""C"": {""size"": 6076, ""percentage"": ""1.07""}}",860.0,1.0,1.0
GitLab,ska-telescope,ska-tango-charts,61564537,2024-09-10T09:51:28.954Z,2025-05-08T11:00:12.075Z,main,1,0.0,545669.0,BSD-3-Clause,Python,"{""Makefile"": {""size"": 3925, ""percentage"": ""14.06""}, ""Mustache"": {""size"": 1836, ""percentage"": ""6.58""}, ""Smarty"": {""size"": 1281, ""percentage"": ""4.59""}, ""Gherkin"": {""size"": 2229, ""percentage"": ""7.99""}, ""Python"": {""size"": 18642, ""percentage"": ""66.79""}}",85.0,3.0,5.0
GitLab,mytcyxy,xjljc,52336709,2023-11-20T08:37:56.820Z,2025-05-08T08:35:28.408Z,main,0,0.0,31912.0,,,,16.0,1.0,1.0
GitLab,feues1,indexing,68178658,2025-03-19T20:56:08.825Z,2025-05-08T12:29:01.423Z,main,0,1.0,76940.0,,HTML,"{""HTML"": {""size"": 35787, ""percentage"": ""100.00""}}",338.0,1.0,1.0
GitLab,Devmoss,skeleton-padd-v1-front-end,63007948,2024-10-27T07:37:25.511Z,2025-05-08T11:12:47.091Z,main,0,0.0,2254643.0,MIT,Vue,"{""JavaScript"": {""size"": 32876, ""percentage"": ""12.97""}, ""HTML"": {""size"": 2848, ""percentage"": ""1.12""}, ""Vue"": {""size"": 213847, ""percentage"": ""84.38""}, ""SCSS"": {""size"": 3852, ""percentage"": ""1.52""}}",187.0,2.0,3.0
GitLab,sebastix-group/drupal,cchs.social,44729460,2023-03-29T13:04:30.683Z,2025-05-08T04:47:26.013Z,develop,1,0.0,4095985.0,NOASSERTION,PHP,"{""PHP"": {""size"": 423192, ""percentage"": ""78.52""}, ""CSS"": {""size"": 11892, ""percentage"": ""2.21""}, ""JavaScript"": {""size"": 7369, ""percentage"": ""1.37""}, ""Twig"": {""size"": 96520, ""percentage"": ""17.91""}}",242.0,4.0,4.0
GitLab,bbrc/xnat,bx,11519946,2019-03-26T22:07:10.569Z,2025-05-08T12:18:14.793Z,master,1,5.0,10429458.0,GPL-3.0,Python,"{""Python"": {""size"": 236696, ""percentage"": ""100.00""}}",339.0,3.0,11.0
GitLab,spack,spack,6910105,2018-06-07T01:10:25.021Z,2025-05-08T12:11:28.025Z,develop,6,4.0,57301443.0,Apache-2.0,Python,"{""Shell"": {""size"": 549122, ""percentage"": ""2.08""}, ""Python"": {""size"": 25570453, ""percentage"": ""96.92""}, ""Batchfile"": {""size"": 9760, ""percentage"": ""0.04""}, ""PowerShell"": {""size"": 7937, ""percentage"": ""0.03""}, ""Makefile"": {""size"": 11968, ""percentage"": ""0.05""}, ""HTML"": {""size"": 2365, ""percentage"": ""0.01""}, ""CMake"": {""size"": 13351, ""percentage"": ""0.05""}, ""Answer Set Programming"": {""size"": 114847, ""percentage"": ""0.44""}, ""C"": {""size"": 49894, ""percentage"": ""0.19""}, ""Standard ML"": {""size"": 22142, ""percentage"": ""0.08""}, ""Tcl"": {""size"": 2844, ""percentage"": ""0.01""}, ""Dockerfile"": {""size"": 12941, ""percentage"": ""0.05""}, ""Lua"": {""size"": 3080, ""percentage"": ""0.01""}, ""C++"": {""size"": 2816, ""percentage"": ""0.01""}, ""Fortran"": {""size"": 561, ""percentage"": ""0.00""}, ""M4"": {""size"": 2111, ""percentage"": ""0.01""}, ""Ruby"": {""size"": 2492, ""percentage"": ""0.01""}, ""RouterOS Script"": {""size"": 37, ""percentage"": ""0.00""}, ""Perl"": {""size"": 615, ""percentage"": ""0.00""}, ""BitBake"": {""size"": 4549, ""percentage"": ""0.02""}}",40694.0,15.0,1646.0
GitLab,luckygametools,steam-cfg,64810900,2024-11-25T10:22:46.866Z,2025-05-08T10:09:53.600Z,main,0,1.0,10029811390.0,,,,1067.0,1.0,3.0
GitLab,techit.win/techit,web,67236587,2025-02-18T10:59:41.983Z,2025-05-08T09:43:14.155Z,main,0,0.0,18500101.0,GPL-3.0,Vue,"{""TypeScript"": {""size"": 15300, ""percentage"": ""11.90""}, ""Vue"": {""size"": 81986, ""percentage"": ""63.79""}, ""CSS"": {""size"": 25588, ""percentage"": ""19.91""}, ""JavaScript"": {""size"": 4067, ""percentage"": ""3.16""}, ""Shell"": {""size"": 1580, ""percentage"": ""1.23""}}",104.0,2.0,5.0
GitLab,iac23249411810,actividad4-deleted-57126542,57126542,2024-04-22T07:42:33.350Z,2025-05-08T08:49:35.578Z,master,0,0.0,30648.0,,Java,"{""Java"": {""size"": 115, ""percentage"": ""100.00""}}",1.0,2.0,1.0
GitLab,team-supercharge/jarvis,jarvis,27748066,2021-06-28T09:40:41.421Z,2025-05-08T09:17:11.336Z,master,6,1.0,181032.0,MIT,,,201.0,11.0,18.0
GitLab,horizon-europe-voxreality/multilingual-translation,speech-translation-demo,46586962,2023-06-05T08:17:21.155Z,2025-05-08T13:37:51.409Z,main,0,0.0,86924575.0,Apache-2.0,Python,"{""Dockerfile"": {""size"": 24522, ""percentage"": ""0.04""}, ""Python"": {""size"": 53971461, ""percentage"": ""99.01""}, ""Shell"": {""size"": 70822, ""percentage"": ""0.13""}, ""Makefile"": {""size"": 3658, ""percentage"": ""0.01""}, ""Jsonnet"": {""size"": 937, ""percentage"": ""0.00""}, ""Jupyter Notebook"": {""size"": 207523, ""percentage"": ""0.38""}, ""C++"": {""size"": 19093, ""percentage"": ""0.04""}, ""Cuda"": {""size"": 204021, ""percentage"": ""0.37""}, ""C"": {""size"": 7703, ""percentage"": ""0.01""}, ""Cython"": {""size"": 3635, ""percentage"": ""0.01""}}",35.0,6.0,4.0
GitLab,durango1,umzug,11512374,2019-03-26T14:12:33.135Z,2025-05-08T08:07:15.413Z,master,0,0.0,1373589.0,MIT,TypeScript,"{""JavaScript"": {""size"": 5257, ""percentage"": ""4.26""}, ""TypeScript"": {""size"": 118105, ""percentage"": ""95.74""}}",677.0,194.0,70.0
GitLab,fanirahmat,hypebeast-ios,68072125,2025-03-17T03:19:02.635Z,2025-05-08T10:18:22.580Z,main,0,0.0,81834281.0,NOASSERTION,Swift,"{""Swift"": {""size"": 281422, ""percentage"": ""99.40""}, ""Ruby"": {""size"": 1712, ""percentage"": ""0.60""}}",22.0,1.0,3.0
GitLab,dudz,acesso,45976995,2023-05-12T15:51:33.093Z,2025-05-08T08:11:44.164Z,master,0,0.0,410489118.0,,Batchfile,"{""Batchfile"": {""size"": 342, ""percentage"": ""100.00""}}",132.0,1.0,2.0
GitLab,CodethinkLabs/trustable,trustable,66600816,2025-01-28T17:34:45.066Z,2025-05-08T13:10:23.669Z,main,7,4.0,1736200.0,CC-BY-SA-4.0,Python,"{""Python"": {""size"": 228002, ""percentage"": ""98.53""}, ""Dockerfile"": {""size"": 1422, ""percentage"": ""0.61""}, ""Shell"": {""size"": 1486, ""percentage"": ""0.64""}, ""HTML"": {""size"": 486, ""percentage"": ""0.21""}}",652.0,43.0,23.0
GitLab,kapampangantranslator,cfgtranslator,69139729,2025-04-21T03:28:06.550Z,2025-05-08T11:28:04.368Z,main,0,0.0,35547.0,,Python,"{""Python"": {""size"": 4348, ""percentage"": ""100.00""}}",15.0,3.0,3.0
GitLab,4sharks/sales,sales-web-react,50443453,2023-09-16T08:29:44.863Z,2025-05-08T12:54:35.742Z,main,0,0.0,4320714.0,,JavaScript,"{""Dockerfile"": {""size"": 695, ""percentage"": ""0.04""}, ""HTML"": {""size"": 2231, ""percentage"": ""0.14""}, ""JavaScript"": {""size"": 1568155, ""percentage"": ""99.36""}, ""CSS"": {""size"": 7193, ""percentage"": ""0.46""}}",463.0,2.0,3.0
GitLab,dangkhai.ctech,miwiz-web-nextjs,62359488,2024-10-08T04:36:59.247Z,2025-05-08T03:20:39.080Z,main,0,0.0,3475062.0,,TypeScript,"{""Dockerfile"": {""size"": 994, ""percentage"": ""0.10""}, ""Shell"": {""size"": 2532, ""percentage"": ""0.27""}, ""TypeScript"": {""size"": 935163, ""percentage"": ""98.21""}, ""JavaScript"": {""size"": 1081, ""percentage"": ""0.11""}, ""CSS"": {""size"": 474, ""percentage"": ""0.05""}, ""SCSS"": {""size"": 11939, ""percentage"": ""1.25""}}",126.0,14.0,10.0
GitLab,hlcgw1,hlcgw1,66347705,2025-01-21T15:05:33.153Z,2025-05-08T09:56:40.183Z,main,0,0.0,29250.0,,,,45.0,1.0,1.0
GitLab,debdistutils/archives/pureos,releases,45455033,2023-04-25T08:04:35.327Z,2025-05-08T11:06:38.196Z,main,1,1.0,753402752.0,,,,4692.0,1.0,2.0
GitLab,cmnsservices,cm-ant-standalone-test,24065154,2021-02-01T11:33:42.837Z,2025-05-08T12:01:55.094Z,master,0,3.0,847976.0,,Java,"{""Java"": {""size"": 1884, ""percentage"": ""100.00""}}",104.0,5.0,2.0
