platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Forgejo,cdsoft,minitar.lua,413291,2025-04-05T14:34:44Z,2025-04-05T14:36:13Z,master,0,0,114728.0,GPL-3.0,Lua,"{""Lua"": {""size"": 17790, ""percentage"": ""97.65""}, ""Shell"": {""size"": 429, ""percentage"": ""2.35""}}",12.0,2.0,1.0,0.0,0.0
Forgejo,telophase,website,246293,2024-08-10T21:16:30Z,2025-04-13T19:44:04Z,main,0,0,868830.0,MIT,HTML,"{""Makefile"": {""size"": 2393, ""percentage"": ""2.14""}, ""JavaScript"": {""size"": 7724, ""percentage"": ""6.92""}, ""SCSS"": {""size"": 38498, ""percentage"": ""34.47""}, ""HTML"": {""size"": 63083, ""percentage"": ""56.48""}}",466.0,1.0,2.0,,
Forgejo,acioustick,mash-playbook,326300,2025-02-14T10:59:26Z,2025-04-13T03:39:06Z,main,0,0,6320743.0,AGPL-3.0,Python,"{""Dockerfile"": {""size"": 280, ""percentage"": ""1.16""}, ""Python"": {""size"": 14064, ""percentage"": ""58.48""}, ""Just"": {""size"": 9706, ""percentage"": ""40.36""}}",2103.0,11.0,48.0,0.0,0.0
Forgejo,AmYiyenEleman3131,antimuz1,368450,2025-02-28T15:56:14Z,2025-04-13T18:48:57Z,main,0,0,506126.0,,,,16.0,1.0,1.0,0.0,0.0
Forgejo,djeikyb,regxmlui,426782,2025-04-10T07:08:22Z,2025-04-10T07:19:46Z,trunk,0,0,976722.0,,C#,"{""C#"": {""size"": 34564, ""percentage"": ""100.00""}}",68.0,2.0,2.0,0.0,0.0
Forgejo,Lennyo,mathtex,430097,2025-04-11T19:41:30Z,2025-04-12T16:22:12Z,main,0,0,3264940.0,,TeX,"{""TeX"": {""size"": 49048, ""percentage"": ""100.00""}}",17.0,1.0,2.0,0.0,0.0
Forgejo,tctlrd,esp32-actl,294037,2024-12-22T23:04:00Z,2025-04-10T15:21:30Z,esp32-poe,0,0,12798302.0,,C,"{""Python"": {""size"": 655, ""percentage"": ""0.04""}, ""C"": {""size"": 1373394, ""percentage"": ""84.12""}, ""C++"": {""size"": 20355, ""percentage"": ""1.25""}, ""HTML"": {""size"": 126280, ""percentage"": ""7.73""}, ""JavaScript"": {""size"": 111913, ""percentage"": ""6.85""}}",275.0,3.0,5.0,10.0,10.0
Forgejo,JstTan,.profile,427436,2025-04-10T13:41:03Z,2025-04-10T13:41:40Z,main,0,0,26468.0,,,,1.0,1.0,1.0,0.0,0.0
Forgejo,wotwot11,wowowowowowowowowowow,247646,2024-08-15T03:48:24Z,2025-04-05T00:53:55Z,main,0,0,103929099.0,,,,3.0,1.0,1.0,0.0,0.0
Forgejo,JonathanTreffler,infrastructure,84935,2023-01-02T15:53:05Z,2025-04-14T10:21:40Z,main,4,0,548760.0,AGPL-3.0,Jinja,"{""Shell"": {""size"": 9285, ""percentage"": ""4.21""}, ""HCL"": {""size"": 5993, ""percentage"": ""2.72""}, ""SaltStack"": {""size"": 93503, ""percentage"": ""42.44""}, ""Python"": {""size"": 5652, ""percentage"": ""2.57""}, ""Jinja"": {""size"": 105101, ""percentage"": ""47.71""}, ""Dockerfile"": {""size"": 763, ""percentage"": ""0.35""}}",2374.0,46.0,3.0,421.0,418.0
Forgejo,elle,personal-website,237387,2024-07-20T06:19:41Z,2025-04-13T23:05:05Z,main,1,0,873906.0,MIT,Lua,"{""Makefile"": {""size"": 497, ""percentage"": ""4.15""}, ""Lua"": {""size"": 6716, ""percentage"": ""56.10""}, ""HTML"": {""size"": 3707, ""percentage"": ""30.96""}, ""CSS"": {""size"": 1052, ""percentage"": ""8.79""}}",19.0,1.0,1.0,0.0,0.0
Forgejo,chellipse,fw-nix-flake,221313,2024-05-28T20:03:13Z,2025-04-07T19:59:31Z,main,0,0,204250.0,,Nix,"{""Nix"": {""size"": 48601, ""percentage"": ""97.18""}, ""Shell"": {""size"": 1408, ""percentage"": ""2.82""}}",74.0,2.0,1.0,0.0,0.0
Forgejo,0xffgr1d,pwnkit,420983,2025-04-08T06:48:30Z,2025-04-11T07:25:01Z,main,0,0,252287.0,GPL-3.0,C,"{""Makefile"": {""size"": 1851, ""percentage"": ""15.36""}, ""C"": {""size"": 10201, ""percentage"": ""84.64""}}",1.0,1.0,1.0,0.0,0.0
Forgejo,fossdd,ita,380278,2025-03-11T18:09:48Z,2025-04-14T11:08:54Z,main,0,0,200111.0,,,,13.0,1.0,1.0,,
Forgejo,pcrook726,dotfiles,362306,2025-02-19T10:22:27Z,2025-04-05T15:54:29Z,main,0,0,33640181.0,,Shell,"{""Shell"": {""size"": 414458, ""percentage"": ""66.07""}, ""Lua"": {""size"": 75051, ""percentage"": ""11.96""}, ""Perl"": {""size"": 56712, ""percentage"": ""9.04""}, ""Dockerfile"": {""size"": 294, ""percentage"": ""0.05""}, ""Makefile"": {""size"": 378, ""percentage"": ""0.06""}, ""Crystal"": {""size"": 69611, ""percentage"": ""11.10""}, ""Roff"": {""size"": 82, ""percentage"": ""0.01""}, ""Ruby"": {""size"": 922, ""percentage"": ""0.15""}, ""Nix"": {""size"": 2184, ""percentage"": ""0.35""}, ""Vim Script"": {""size"": 5500, ""percentage"": ""0.88""}, ""CSS"": {""size"": 2095, ""percentage"": ""0.33""}}",25.0,1.0,2.0,0.0,0.0
Forgejo,t_aus_m,infrastructure,46385,2022-05-29T12:14:07Z,2025-04-12T19:01:20Z,main,4,0,70980.0,,,,1415.0,7.0,4.0,875.0,874.0
Forgejo,aidenfoxivey,facet-example,426323,2025-04-10T00:07:55Z,2025-04-10T00:09:36Z,main,0,0,35182.0,,Rust,"{""Rust"": {""size"": 596, ""percentage"": ""100.00""}}",3.0,1.0,1.0,0.0,0.0
Forgejo,NepDisk,blankart-assets,298120,2025-01-01T22:16:07Z,2025-04-13T22:02:43Z,main,0,1,8919110.0,,Python,"{""Batchfile"": {""size"": 49, ""percentage"": ""0.46""}, ""Shell"": {""size"": 48, ""percentage"": ""0.45""}, ""Python"": {""size"": 10534, ""percentage"": ""99.09""}}",83.0,8.0,3.0,8.0,7.0
Forgejo,mhend,kfed,417158,2025-04-06T15:29:10Z,2025-04-06T23:16:10Z,main,0,0,961274.0,AGPL-3.0,Kotlin,"{""Kotlin"": {""size"": 3065, ""percentage"": ""100.00""}}",2.0,1.0,2.0,0.0,0.0
