platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Gitea,Ubuntuxxd,AngularUdemy,39078,2023-07-25T05:02:02Z,2024-10-15T06:33:43Z,master,0,0,53534649.0,,JavaScript,"{""HTML"": {""size"": 906836, ""percentage"": ""7.59""}, ""TypeScript"": {""size"": 2761, ""percentage"": ""0.02""}, ""JavaScript"": {""size"": 9809088, ""percentage"": ""82.09""}, ""CSS"": {""size"": 835750, ""percentage"": ""6.99""}, ""SCSS"": {""size"": 99546, ""percentage"": ""0.83""}, ""Shell"": {""size"": 6284, ""percentage"": ""0.05""}, ""CoffeeScript"": {""size"": 207864, ""percentage"": ""1.74""}, ""Makefile"": {""size"": 285, ""percentage"": ""0.00""}, ""Less"": {""size"": 76185, ""percentage"": ""0.64""}, ""PHP"": {""size"": 4719, ""percentage"": ""0.04""}}",11.0,1.0,2.0,0.0,0.0
Gitea,jdeakx,skdnbhjs33,91208,2025-03-07T09:52:01Z,2025-03-09T08:34:43Z,main,0,0,27422.0,,,,2.0,1.0,1.0,0.0,0.0
Gitea,xiufeng.zhang,maven-settings-action,94588,2025-03-19T08:42:28Z,2025-03-19T08:42:34Z,master,0,0,326208.0,MIT,JavaScript,"{""JavaScript"": {""size"": 53380, ""percentage"": ""99.55""}, ""Shell"": {""size"": 242, ""percentage"": ""0.45""}}",428.0,4.0,20.0,0.0,0.0
Gitea,Hirokixd,manifest,67895,2024-09-18T19:31:42Z,2024-09-18T19:31:42Z,14,0,0,24101.0,,,,,0.0,0.0,0.0,
Gitea,slash,schplaf-gentoo-overlay,38667,2023-07-12T12:57:17Z,2025-03-25T14:41:13Z,main,1,1,209437.0,,Shell,"{""Shell"": {""size"": 57345, ""percentage"": ""100.00""}}",224.0,1.0,2.0,0.0,0.0
Gitea,des86532,test,96075,2025-04-08T04:41:51Z,2025-04-08T04:41:51Z,main,0,0,24103.0,,,,,0.0,0.0,0.0,
Gitea,Mota,sprint,67318,2024-09-09T10:31:27Z,2024-09-09T11:41:32Z,main,0,0,27058.0,,Go,"{""Go"": {""size"": 135, ""percentage"": ""100.00""}}",3.0,1.0,1.0,0.0,0.0
Gitea,ihsan29,ihsan-sarah-1,88891,2025-02-09T08:53:57Z,2025-02-09T11:03:51Z,main,0,0,26737.0,,,,3.0,2.0,2.0,0.0,0.0
Gitea,moemiku,ComfyUI-Solution-Nodes,69552,2024-10-12T01:09:14Z,2024-10-12T01:56:35Z,master,0,0,30078.0,,Python,"{""Python"": {""size"": 2048, ""percentage"": ""100.00""}}",4.0,1.0,1.0,0.0,0.0
Gitea,bullamalla,vvv,66621,2024-09-02T06:17:53Z,2024-09-02T06:19:36Z,main,0,0,27260.0,,,,1.0,1.0,1.0,0.0,0.0
