Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
GitHub,724events,0,0,0,2024-10-10T11:40:01Z,2024-11-12T21:43:30Z,6876,JavaScript
GitHub,highlight.js,0,0,0,2023-08-22T06:24:07Z,2023-08-22T07:29:47Z,14263,JavaScript
GitHub,traitlets,0,0,0,2020-05-02T17:37:12Z,2020-05-02T17:37:14Z,1709,
GitHub,asana-clone,0,0,0,2022-04-17T19:03:24Z,2023-02-13T05:37:49Z,245,JavaScript
GitHub,deliverysolutions,1,0,0,2023-08-07T21:28:54Z,2024-09-02T17:09:15Z,1484,PHP
GitHub,Employee-Tracker,0,0,0,2023-06-16T00:43:59Z,2023-06-27T23:36:27Z,30,JavaScript
GitHub,ngx-list-minimap,0,0,0,2023-11-04T16:37:21Z,2023-11-04T16:38:06Z,177,TypeScript
GitHub,crud-ppdb,0,0,0,2021-03-30T00:42:34Z,2021-03-30T00:51:57Z,67,PHP
GitHub,TinDog-Website,0,0,0,2022-02-03T20:09:58Z,2022-02-03T20:20:10Z,1349,HTML
GitHub,twitter_clone,0,0,0,2016-06-30T15:50:30Z,2016-06-30T15:53:39Z,255,Ruby
GitHub,todoGinGraphql,1,0,0,2022-09-19T12:52:02Z,2023-03-05T08:20:43Z,18,Go
GitHub,bible-convert,0,0,0,2023-07-26T12:48:46Z,2023-08-07T20:44:23Z,532,TypeScript
GitHub,Hacktoberfest-imagine-your-contribution,1,0,0,2021-10-07T03:45:17Z,2021-10-08T23:25:04Z,12313,Jupyter Notebook
GitHub,billingsystem,0,0,0,2024-02-06T21:34:41Z,2024-02-06T21:40:21Z,3,Java
GitHub,goit-markup-hw-07,0,0,0,2023-01-15T18:09:27Z,2023-01-17T05:48:20Z,1066,HTML
GitHub,spacebuild,0,0,0,2013-05-10T21:03:05Z,2016-05-21T13:59:34Z,166585,Lua
GitHub,zuriLaravel,0,0,0,2022-11-04T16:28:51Z,2022-11-04T16:31:07Z,67,PHP
GitHub,full-severyachonka-js,0,0,0,2023-08-04T19:51:53Z,2023-08-04T19:52:12Z,17972,CSS
GitHub,regions,0,0,0,2017-09-27T19:45:40Z,2023-08-07T21:46:41Z,2409,Python
GitHub,shopapp-newsapp,0,0,0,2022-08-20T16:42:23Z,2022-08-20T16:46:18Z,957,Dart
GitHub,pscr_home,0,0,1,2022-07-27T05:52:47Z,2022-08-01T00:03:11Z,60,PHP
GitHub,awesome-skeleton,0,0,0,2021-06-17T03:38:31Z,2021-06-17T03:38:32Z,416,
GitHub,artifact,0,0,0,2021-09-25T17:22:47Z,2021-09-25T17:31:20Z,3,
GitHub,skills-github-pages,0,0,1,2023-08-25T21:11:10Z,2023-08-25T21:11:11Z,31,
GitHub,skills-review-pull-requests,0,0,1,2023-08-25T21:35:15Z,2023-08-25T21:35:20Z,33,HTML
GitHub,spaCy_ranki,0,0,0,2023-04-18T23:10:02Z,2023-04-18T23:12:47Z,6,Python
GitHub,pdf-2-word,0,1,0,2023-11-03T16:11:43Z,2023-11-03T16:12:40Z,6,Python
GitHub,ProgrammingAssignment2,0,0,0,2019-02-17T16:58:48Z,2019-02-17T18:24:58Z,8,R
GitHub,manabu.github.io,0,0,0,2015-03-07T14:04:03Z,2024-04-03T10:41:32Z,7581,SCSS
GitHub,terafoundation,0,0,0,2016-02-29T17:46:09Z,2016-02-29T17:46:10Z,64,JavaScript
GitHub,pax-BB5,2,0,0,2021-04-04T12:41:16Z,2024-08-29T20:34:59Z,528,C
GitHub,ExactDuplicatePlugin,0,0,0,2022-08-27T03:41:41Z,2022-08-27T03:42:26Z,16,Python
GitHub,Quizc-jala,0,0,0,2021-02-17T23:13:03Z,2021-02-17T23:22:51Z,19,Java
GitHub,dayyaan.github.io,0,0,0,2023-06-02T21:14:43Z,2023-06-08T15:08:03Z,6534,HTML
GitHub,Lab7P1_DiegoCruz,0,0,0,2023-06-02T23:13:14Z,2023-06-02T23:15:53Z,51,Java
GitHub,Udemi,0,0,0,2020-11-23T12:09:20Z,2020-11-23T12:11:10Z,511,HTML
GitHub,LostBelarus,0,0,0,2023-11-04T15:48:19Z,2023-11-04T15:54:50Z,728,Python
GitHub,Nonstoplll,0,0,0,2023-07-18T15:23:18Z,2023-07-18T15:23:19Z,24,
Gitea,mrtst,0,0,0,2019-02-26T04:09:05Z,2019-02-26T04:09:06Z,20,
Gitea,Bytom-JS-SDK,0,0,0,2019-08-01T01:06:45Z,2019-11-29T06:28:32Z,537,JavaScript
