platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitHub,mindw,BattleTechMods,260975507,2020-05-03T16:43:52Z,2025-04-05T08:56:50Z,master,0,0,310509543,MIT,,,825,1,1,0,0
GitHub,samir-roy,init.nvim,707782924,2023-10-20T16:40:50Z,2025-04-07T07:10:03Z,main,1,0,71044,MIT,Lua,"{""Lua"": {""size"": 22618, ""percentage"": ""100.00""}}",28,2,1,0,0
GitHub,JeninSutradhar,sonic3,909245988,2024-12-28T06:01:03Z,2025-04-10T02:48:40Z,main,13,1,177699,MIT,Go,"{""Go"": {""size"": 39660, ""percentage"": ""100.00""}}",29,1,2,1,0
GitHub,ntcmoon,Prayhour,953557513,2025-03-23T16:33:52Z,2025-04-09T00:12:30Z,main,0,0,44205,,JavaScript,"{""HTML"": {""size"": 840, ""percentage"": ""24.42""}, ""JavaScript"": {""size"": 1779, ""percentage"": ""51.72""}, ""CSS"": {""size"": 821, ""percentage"": ""23.87""}}",4,1,1,0,0
GitHub,shyam-achuthan,daily-planner,960780671,2025-04-05T03:53:13Z,2025-04-05T06:11:35Z,main,0,0,1312208,,JavaScript,"{""HTML"": {""size"": 4415, ""percentage"": ""13.69""}, ""JavaScript"": {""size"": 26913, ""percentage"": ""83.43""}, ""CSS"": {""size"": 930, ""percentage"": ""2.88""}}",8,1,2,0,0
GitHub,BlacAc3,ace_compiler,955269441,2025-03-26T11:31:52Z,2025-04-05T10:20:01Z,main,0,0,183288,MIT,Python,"{""Python"": {""size"": 36314, ""percentage"": ""100.00""}}",6,1,1,0,0
GitHub,Haruna5718,VRCUtil,926041477,2025-02-02T12:08:48Z,2025-04-10T02:59:30Z,main,1,0,10681357,Apache-2.0,Svelte,"{""HTML"": {""size"": 1789, ""percentage"": ""3.45""}, ""Svelte"": {""size"": 33772, ""percentage"": ""65.09""}, ""TypeScript"": {""size"": 913, ""percentage"": ""1.76""}, ""JavaScript"": {""size"": 209, ""percentage"": ""0.40""}, ""Python"": {""size"": 15202, ""percentage"": ""29.30""}}",7,1,2,0,0
GitHub,RLGayathri,SIT725,955108196,2025-03-26T05:50:40Z,2025-04-10T04:08:08Z,main,0,0,35851520,,JavaScript,"{""CSS"": {""size"": 891, ""percentage"": ""3.74""}, ""HTML"": {""size"": 7862, ""percentage"": ""33.03""}, ""JavaScript"": {""size"": 15052, ""percentage"": ""63.23""}}",6,1,2,0,0
GitHub,abdulmujeeb4ahmed,firebase_cloud_messsaging,963596289,2025-04-09T23:26:06Z,2025-04-10T01:38:34Z,main,0,0,779079,,C++,"{""Kotlin"": {""size"": 128, ""percentage"": ""0.22""}, ""Swift"": {""size"": 2059, ""percentage"": ""3.49""}, ""Objective-C"": {""size"": 38, ""percentage"": ""0.06""}, ""Dart"": {""size"": 10214, ""percentage"": ""17.30""}, ""CMake"": {""size"": 19720, ""percentage"": ""33.40""}, ""C++"": {""size"": 24249, ""percentage"": ""41.07""}, ""C"": {""size"": 1425, ""percentage"": ""2.41""}, ""HTML"": {""size"": 1208, ""percentage"": ""2.05""}}",2,1,2,0,0
GitHub,mattjanko,disaster_tweets,960842063,2025-04-05T07:10:42Z,2025-04-05T08:28:45Z,main,0,0,2618842,,Jupyter Notebook,"{""Jupyter Notebook"": {""size"": 269437, ""percentage"": ""100.00""}}",8,1,1,0,0
GitHub,DIRBLOCK9,Web-Design,950103276,2025-03-17T16:27:37Z,2025-04-09T21:06:12Z,main,0,0,44558,,HTML,"{""HTML"": {""size"": 7259, ""percentage"": ""58.07""}, ""CSS"": {""size"": 5241, ""percentage"": ""41.93""}}",4,3,1,0,2
GitHub,DPRASAD-dp,LeetCodeSolutions,839912881,2024-08-08T15:19:24Z,2025-04-05T06:08:40Z,main,0,0,378651,,Java,"{""Java"": {""size"": 75157, ""percentage"": ""100.00""}}",259,1,2,0,0
GitHub,Andygol,blog,457462889,2022-02-09T17:35:17Z,2025-04-05T08:37:57Z,gh-page,1,0,61586191,,HTML,"{""HTML"": {""size"": 10566, ""percentage"": ""85.20""}, ""Ruby"": {""size"": 1152, ""percentage"": ""9.29""}, ""SCSS"": {""size"": 683, ""percentage"": ""5.51""}}",56,2,4,0,22
GitHub,irvanmaulanaaa,assesment1mobpro,960279124,2025-04-04T06:51:30Z,2025-04-10T01:51:10Z,main,0,0,27206,,,,1,2,2,0,0
GitHub,RROUSHAN1602,EMPLOYEE_METER,958993589,2025-04-02T05:11:50Z,2025-04-05T08:32:36Z,main,0,0,57571,,Python,"{""Python"": {""size"": 16219, ""percentage"": ""100.00""}}",12,1,1,0,0
GitHub,Mega2223,NeveAnalytics,787687204,2024-04-17T01:50:15Z,2025-04-12T01:47:54Z,main,0,0,1391877,MIT,Jupyter Notebook,"{""Jupyter Notebook"": {""size"": 106942, ""percentage"": ""48.54""}, ""Python"": {""size"": 33742, ""percentage"": ""15.32""}, ""Batchfile"": {""size"": 163, ""percentage"": ""0.07""}, ""Java"": {""size"": 79464, ""percentage"": ""36.07""}}",79,1,1,0,0
GitHub,badbatch,graphql-box,100455148,2017-08-16T06:23:30Z,2025-04-05T08:23:54Z,main,26,2,5323334,MIT,TypeScript,"{""JavaScript"": {""size"": 3774, ""percentage"": ""0.43""}, ""TypeScript"": {""size"": 873665, ""percentage"": ""99.54""}, ""Shell"": {""size"": 229, ""percentage"": ""0.03""}}",765,5,3,16,108
GitHub,conda-forge,petl-feedstock,69573222,2016-09-29T14:03:21Z,2025-04-05T05:59:35Z,main,0,6,70971,BSD-3-Clause,,,98,3,11,1,43
GitHub,catree42,Programmers_CodingTest,822851782,2024-07-02T00:50:12Z,2025-04-10T02:01:51Z,main,0,0,745407,,Python,"{""Python"": {""size"": 19809, ""percentage"": ""100.00""}}",133,1,1,0,0
GitHub,irenetherese,irenetherese.github.io,114590616,2017-12-18T03:11:44Z,2025-04-10T01:55:24Z,master,0,0,286058671,,HTML,"{""HTML"": {""size"": 20573807, ""percentage"": ""99.93""}, ""TypeScript"": {""size"": 12760, ""percentage"": ""0.06""}, ""SCSS"": {""size"": 2399, ""percentage"": ""0.01""}}",19,2,4,0,0
GitHub,skozlovtsev,hitalent,962281476,2025-04-07T23:31:02Z,2025-04-10T02:02:19Z,main,0,0,34426,,Python,"{""Dockerfile"": {""size"": 281, ""percentage"": ""8.01""}, ""Python"": {""size"": 3226, ""percentage"": ""91.99""}}",2,1,1,0,0
GitHub,EliteDev9472,Jotform_timer,955476124,2025-03-26T17:41:32Z,2025-04-05T08:32:46Z,main,0,0,2146822,,JavaScript,"{""HTML"": {""size"": 343748, ""percentage"": ""21.87""}, ""JavaScript"": {""size"": 1228117, ""percentage"": ""78.13""}}",11,1,1,0,0
GitHub,clutcher,spring-modulith-module-archunit,962785679,2025-04-08T17:08:44Z,2025-04-09T00:14:24Z,main,0,0,240284,MIT,Java,"{""Java"": {""size"": 51546, ""percentage"": ""100.00""}}",7,1,1,0,0
GitHub,tiagoerthal,DiamanteX,962949432,2025-04-08T23:31:06Z,2025-04-10T01:43:49Z,master,0,0,45811,,C#,"{""C#"": {""size"": 2571, ""percentage"": ""100.00""}}",10,1,1,0,0
GitHub,Akashwatgure,Power-BI-PwC-Virtual-Internship-from-Forage,960838533,2025-04-05T07:00:43Z,2025-04-05T09:03:55Z,main,0,0,8722646,,,,14,1,1,0,0
GitHub,shin0782,sample1,958289697,2025-04-01T00:36:19Z,2025-04-10T04:08:50Z,main,0,0,32611,,HTML,"{""HTML"": {""size"": 2216, ""percentage"": ""68.16""}, ""JavaScript"": {""size"": 1035, ""percentage"": ""31.84""}}",9,1,1,0,0
GitHub,Quana306,Quana306,951671443,2025-03-20T03:59:21Z,2025-04-10T03:24:22Z,main,0,0,27171,,,,3,3,1,0,0
GitHub,nie312122330,niexq-tdx,513163658,2022-07-12T13:57:03Z,2025-04-10T04:09:45Z,main,0,0,114931,,Go,"{""Go"": {""size"": 54458, ""percentage"": ""100.00""}}",68,1,2,0,0
GitHub,ScottWales,nci-tools,963594318,2025-04-09T23:19:04Z,2025-04-10T01:35:32Z,main,0,0,36016,,Python,"{""Python"": {""size"": 5795, ""percentage"": ""100.00""}}",2,1,1,0,0
GitHub,gjy945,leetcode,944256159,2025-03-07T03:25:55Z,2025-04-10T02:25:19Z,main,0,0,89798,,Java,"{""Java"": {""size"": 37679, ""percentage"": ""100.00""}}",37,1,1,0,0
GitHub,Becka8Tech,React2,960675885,2025-04-04T21:15:01Z,2025-04-05T06:07:23Z,main,0,0,2719840,,JavaScript,"{""HTML"": {""size"": 1721, ""percentage"": ""4.71""}, ""CSS"": {""size"": 11523, ""percentage"": ""31.54""}, ""JavaScript"": {""size"": 23287, ""percentage"": ""63.75""}}",2,1,1,0,0
GitHub,meiguiyisenluo,YiSen-s-Blog,947834403,2025-03-13T10:18:52Z,2025-04-10T02:27:01Z,master,0,0,31836729,MIT,TypeScript,"{""TypeScript"": {""size"": 100187, ""percentage"": ""75.92""}, ""CSS"": {""size"": 3311, ""percentage"": ""2.51""}, ""MDX"": {""size"": 12053, ""percentage"": ""9.13""}, ""TeX"": {""size"": 706, ""percentage"": ""0.54""}, ""JavaScript"": {""size"": 15650, ""percentage"": ""11.86""}, ""HTML"": {""size"": 53, ""percentage"": ""0.04""}}",17,1,1,0,0
GitHub,knative-extensions,kn-plugin-source-kamelet,319350908,2020-12-07T14:48:24Z,2025-04-10T01:52:13Z,main,2,11,73578539,Apache-2.0,Go,"{""Go"": {""size"": 105014, ""percentage"": ""85.81""}, ""Shell"": {""size"": 17364, ""percentage"": ""14.19""}}",264,22,7,18,282
GitHub,Ngilbert0807,Stacast-Work,885029247,2024-11-07T20:32:43Z,2025-04-10T01:48:09Z,main,0,0,378750,,Jupyter Notebook,"{""Jupyter Notebook"": {""size"": 238735, ""percentage"": ""100.00""}}",9,1,2,0,0
GitHub,ujangbedog,learn-vue,940600585,2025-02-28T13:15:36Z,2025-04-05T05:49:34Z,main,0,0,821381,,Vue,"{""HTML"": {""size"": 7505, ""percentage"": ""23.12""}, ""Vue"": {""size"": 19569, ""percentage"": ""60.28""}, ""CSS"": {""size"": 44, ""percentage"": ""0.14""}, ""TypeScript"": {""size"": 5344, ""percentage"": ""16.46""}}",18,2,1,0,0
GitHub,hlaf,fs.poormanscrashplanfs,146634931,2018-08-29T17:27:42Z,2025-04-10T01:54:17Z,master,2,0,1299238,,Python,"{""Python"": {""size"": 24251, ""percentage"": ""100.00""}}",477,1,3,0,0
